2,0.00342455,270.928,152.389,
4,0.269854,495.306,162.159,
6,2.12062,851.439,321.553,
8,10.3881,1189.36,321.553,
2,0.00139837,120.464,115.523,
4,0.0283464,402.503,173.434,
6,0.0360425,867.435,269.009,
8,1.9446,1024.52,269.009,
10,1.79334,1361.44,269.009,
12,1.81271,1564.71,269.009,
14,3.87248,1899.61,269.009,
16,4.38101,2363.09,269.009,
18,4.99839,2445.64,269.009,
20,49.5871,2766.54,269.009,
10,300.006,1741.68,321.363,
12,300.01,2091.74,321.363,
14,300.016,2551.23,321.365,
2,0.000795744,103.095,53.1735,
4,0.00239807,300.983,114.109,
6,0.00611058,571.626,176.851,
8,0.329816,1002.14,259.437,
16,300.028,2768.01,321.363,
10,1.76452,1408.09,259.437,
18,300.067,2899.37,321.363,
12,6.651,1512.65,259.437,
20,300.051,3035.09,321.363,
22,300.019,3125.73,321.363,
24,300.043,3436.15,321.365,
26,300.006,3602.54,321.365,
28,300.001,3935.47,321.365,
30,300.394,4262.43,321.382,
32,300.27,4491.41,321.382,
2,0.00292937,248.336,127.064,
4,0.00654599,502.748,171.259,
6,0.00882625,713.708,201.481,
8,0.366701,1196.51,257.037,
34,300.452,4646.27,321.382,
10,0.375663,1347.92,257.037,
12,43.1061,1613.16,257.038,
22,300.01,3058.23,269.009,
24,300.082,3428.15,269.009,
26,300.197,3562.21,269.009,
28,300.041,3655.65,269.009,
30,300.028,3778.1,269.009,
32,300.41,4166.56,292.299,
34,300.208,4479.3,292.265,
14,300.025,1763.54,259.437,
16,300.013,2197.25,259.437,
18,300.013,2424.33,259.437,
20,300.08,2666.96,259.437,
2,0.00374872,318.539,179.298,
4,0.00671295,588.769,179.298,
22,300.052,2966.72,259.437,
6,0.00793991,665.461,179.298,
8,0.0121629,939.228,214.536,
10,0.0172354,1247.99,261.733,
12,0.364025,1544.61,261.733,
14,0.41513,1767.18,261.733,
24,300.038,3190.42,259.437,
26,300.043,3367.63,259.437,
28,300.09,3756.25,285.564,
