23,4.5,8,0.0073868,870.354,219.997,0
29,4.5,8,1.19154,741.567,260.289,1
0,4.5,8,180.124,1332.65,274.817,41
1,4.5,8,180.102,805.668,180.198,46
2,4.5,8,180.037,1064.18,226.135,103
3,4.5,8,180.106,1068.34,281.883,107
4,4.5,8,180.104,1470.75,309.749,71
5,4.5,8,180.167,1289.38,229.978,83
6,4.5,8,180.068,1178.69,239.937,40
7,4.5,8,180.177,1006.58,270.057,180
8,4.5,8,180.003,937.101,239.649,120
9,4.5,8,180.069,1175.33,257.059,50
10,4.5,8,180.348,1190.02,312.193,146
11,4.5,8,180.015,1378.14,240.51,140
12,4.5,8,180.028,1045.4,233.557,78
35,4.5,8,77.8597,989.885,230.193,35
13,4.5,8,180.017,1339.7,296.605,88
46,4.5,8,0.00850331,1066.06,282.845,0
14,4.5,8,180.249,1269.9,287.688,107
15,4.5,8,180.2,1208.69,243.965,78
16,4.5,8,180.24,947.479,247.881,119
17,4.5,8,180.564,585.128,195.03,139
18,4.5,8,180.026,1173.83,257.377,115
19,4.5,8,180.209,1187.37,271.319,79
20,4.5,8,180.166,1265.61,284.773,53
21,4.5,8,180.023,1117.31,207.904,128
22,4.5,8,180.393,1001.04,275.581,61
24,4.5,8,180.009,1288.58,234.264,185
25,4.5,8,180.152,910.451,173.431,106
26,4.5,8,180.039,1206.87,255.09,136
27,4.5,8,180.021,897.989,219.49,135
28,4.5,8,180.048,1155.34,236.889,85
30,4.5,8,180.122,1230.81,252.407,113
31,4.5,8,180.014,933.377,235.801,233
32,4.5,8,180.014,1109.35,237.503,165
33,4.5,8,180.019,1142.73,193.809,127
34,4.5,8,180.269,849.228,219.445,146
36,4.5,8,180.028,1083.15,263.558,276
37,4.5,8,180.006,1436.93,263.895,53
38,4.5,8,180.023,1258.28,302.273,93
39,4.5,8,180.254,1060.98,280.166,51
40,4.5,8,180.005,1483.85,280.163,109
41,4.5,8,181.073,1217.52,216.912,63
42,4.5,8,180.037,1038.97,205.267,285
43,4.5,8,180.092,1145.62,224.05,77
44,4.5,8,180.005,949.844,280.517,231
45,4.5,8,180.028,1022.28,237.469,95
48,4.5,8,180.016,970.39,182.903,66
47,4.5,8,180.735,980.972,277.736,56
49,4.5,8,180.96,1111.93,257.217,32
